source,target,weight
120,173,0.9135056734085083
120,878,0.9106875658035278
121,511,0.9197575449943542
121,995,0.9161843657493591
121,965,0.9123684763908386
122,889,0.918056309223175
122,416,0.9032339453697205
123,516,0.9238735437393188
123,574,0.9095703363418579
124,996,0.9350396990776062
124,133,0.9305258393287659
125,921,0.9375342130661011
125,236,0.9354823231697083
125,379,0.9345863461494446
125,185,0.9342634677886963
125,163,0.933649480342865
125,717,0.9315375089645386
125,248,0.928449809551239
125,483,0.9270692467689514
125,914,0.9266908168792725
126,467,0.930290162563324
126,666,0.9259917140007019
126,266,0.9258628487586975
126,137,0.9246523976325989
126,837,0.9242774248123169
126,1783,0.9237748384475708
128,903,0.9176735877990723
128,627,0.9172353744506836
128,440,0.9171879291534424
130,510,0.9350892901420593
130,496,0.9338842630386353
130,169,0.9324550032615662
130,421,0.9301268458366394
130,195,0.9290398955345154
130,849,0.9269033074378967
131,289,0.9357258677482605
131,841,0.9297811388969421
131,933,0.928433358669281
131,918,0.9271729588508606
131,851,0.9264319539070129
132,734,0.9257047772407532
132,387,0.9236660003662109
132,215,0.9180443286895752
133,996,0.937976062297821
133,1099,0.9305258393287659
133,256,0.9193009734153748
134,947,0.9231072068214417
134,802,0.9211790561676025
134,745,0.9199524521827698
134,152,0.9179351329803467
135,136,0.9342479705810547
135,279,0.9306308627128601
135,1876,0.9212290048599243
135,888,0.9202888011932373
135,150,0.9170222282409668
136,512,0.9424291253089905
136,279,0.9404311180114746
136,150,0.937669575214386
136,499,0.9351837038993835
136,182,0.9350255727767944
136,846,0.9341130256652832
136,727,0.9312429428100586
136,561,0.9309064745903015
136,673,0.9306635856628418
137,1479,0.948065996170044
137,659,0.9345692992210388
137,772,0.9344409704208374
137,658,0.9302118420600891
137,1435,0.9269461631774902
137,177,0.9248844385147095
137,636,0.9242889881134033
137,986,0.9239981770515442
137,305,0.9219394326210022
138,167,0.9474857449531555
138,782,0.925243079662323
138,386,0.9233463406562805
138,634,0.9153046011924744
138,261,0.9152200222015381
138,906,0.9147416353225708
139,924,0.9331713318824768
139,730,0.9229540228843689
140,195,0.9365895390510559
140,422,0.9334384799003601
140,421,0.9251480102539062
140,560,0.9241679310798645
141,536,0.941872775554657
141,402,0.923036515712738
142,551,0.9209206700325012
142,514,0.9034618735313416
143,599,0.9254600405693054
143,283,0.9247128963470459
143,1876,0.9246819019317627
143,551,0.9170610904693604
144,470,0.9191337823867798
144,621,0.9116995930671692
145,669,0.9257254004478455
145,307,0.9114313125610352
145,162,0.9113509058952332
146,948,0.9305053353309631
146,911,0.9274011850357056
146,497,0.9230595827102661
146,776,0.9194649457931519
146,754,0.9177548885345459
146,609,0.9172197580337524
146,347,0.9161946177482605
146,335,0.915655791759491
147,890,0.9404256939888
147,601,0.9342535138130188
147,377,0.9310190081596375
147,294,0.9292647838592529
147,928,0.9291252493858337
147,194,0.929111659526825
147,990,0.9262660145759583
147,519,0.9255602955818176
148,289,0.9274393916130066
149,797,0.9085290431976318
150,279,0.9277753829956055
150,846,0.9203660488128662
150,975,0.9186527132987976
151,826,0.9335911870002747
151,934,0.918337881565094
151,750,0.9134653806686401
151,235,0.9116010665893555
154,1128,0.9999995827674866
154,1356,0.9201294779777527
154,773,0.91881263256073
154,365,0.916090190410614
154,1744,0.9132328033447266
154,1635,0.9114806056022644
155,282,0.9151957035064697
155,249,0.9123480916023254
156,481,0.9391565918922424
156,482,0.9180346131324768
156,1396,0.9170599579811096
