index,id,title,authors,field,field_multi,is_AP,is_NA,community,four
1536,2502.12940v1,Tensor cross interpolation for global discrete optimization with application to Bayesian network inference,Sergey Dolgov; Dmitry Savostyanov,,,0,1,8,NA-only
1537,2502.12909v1,Stochastic Parareal Algorithm for Stochastic Differential Equations,Huanxin Wang; Junhan Lyu; Zicheng Peng; Min Li,,,0,1,7,NA-only
1538,2502.13827v1,Bayesian Physics Informed Neural Networks for Linear Inverse problems,Ali Mohammad-Djafari,,,0,1,21,NA-only
1539,2502.12877v1,Pushing the Limits of the Reactive Affine Shaker Algorithm to Higher Dimensions,Roberto Battiti; Mauro Brunato,,,0,1,48,NA-only
1540,2502.12810v1,"Frequency-domain alignment of heterogeneous, multidimensional separations data through complex orthogonal Procrustes analysis",Michael Sorochan Armstrong,,,0,1,5,NA-only
1541,2502.12689v1,Role extraction by matrix equations and generalized random walks,Dario Fasino,,,0,1,1,NA-only
1542,2502.12609v1,"New Crouzeix-Raviart elements of even degree: theoretical aspects, numerical performance, and applications to the Stokes' equations",Andrea Bressan; Lorenzo Mascotto; Marialetizia Mosconi,,,0,1,4,NA-only
1543,2502.12496v1,"Regularity and Tailored Regularization of Deep Neural Networks, with application to parametric PDEs in uncertainty quantification",Alexander Keller; Frances Y. Kuo; Dirk Nuyens; Ian H. Sloan,,,0,1,6,NA-only
1544,2502.12451v1,Quasi-Monte Carlo methods for uncertainty quantification of wave propagation and scattering problems modelled by the Helmholtz equation,Ivan G. Graham; Frances Y. Kuo; Dirk Nuyens; Ian H. Sloan; Euan A. Spence,,,0,1,34,NA-only
1545,2502.12432v1,Schwartz duality for singularly perturbed nonlinear differential equations with Chebyshev spectral method,Eunwoo Heo; Kwanghyuk Park; Jae-Hun Jung,,,0,1,19,NA-only
1546,2502.12368v1,Recovery of the rod cross section shape,Vladislav V. Kravchenko; Sergii M. Torba; Alexander O. Vatulyan,,,0,1,192,NA-only
1547,2502.12345v1,Uncertainty quantification for stationary and time-dependent PDEs subject to Gevrey regular random domain deformations,Ana Djurdjevac; Vesa Kaarnioja; Claudia Schillings; André-Alexander Zepernick,,,0,1,7,NA-only
1548,2502.12298v1,Symmetric Rank-One Quasi-Newton Methods for Deep Learning Using Cubic Regularization,Aditya Ranganath; Mukesh Singhal; Roummel Marcia,,,0,1,8,NA-only
1549,2502.12142v1,pylevin: efficient numerical integration of integrals containing up to three Bessel functions,Robert Reischke,,,0,1,20,NA-only
1550,2502.12097v1,Data assimilation performed with robust shape registration and graph neural networks: application to aortic coarctation,Francesco Romor; Felipe Galarce; Jan Brüning; Leonid Goubergrits; Alfonso Caiazzo,,,0,1,33,NA-only
1551,2502.11908v1,Approximating a spatially-heterogeneously mass-emitting object by multiple point sources in a diffusion model,Qiyao Peng; Sander C. Hille,AP_NA,AP;NA,1,1,27,AP+NA
1552,2502.11907v1,Evaluating singular and near-singular integrals on $C^2$ smooth surfaces with a novel geometric method and closed form expressions,Andrew Zheng; Spyros Alexakis; Adam R Stinchcombe,,,0,1,20,NA-only
1553,2502.11676v1,Iterative Procedure for Non-Linear Fractional Integro-Differential Equations via Daftardar--Jafari Polynomials,Qasim Khan; Anthony Suen,AP_NA,AP;NA,1,1,15,AP+NA
1554,2502.11652v1,A new banded Petrov--Galerkin spectral method,Ouyuan Qin; Lu Cheng; Kuan Xu,,,0,1,9,NA-only
1555,2502.11632v1,O-MMGP: Optimal Mesh Morphing Gaussian Process Regression for Solving PDEs with non-Parametric Geometric Variations,Abbas Kabalan; Fabien Casenave; Felipe Bordeu; Virginie Ehrlacher,,,0,1,35,NA-only
1556,2502.11529v1,Experimental study on square RC short columns strengthened with corrugated steel jacket under axial compression,Yang Fan; Yang Ligui; Wang Yuyin; Fang Yong; Jin Shuangshuang; Chen Yunwen; Xia Qilong,,,0,1,51,NA-only
1557,2502.11504v1,Accelerated Gradient-based Design Optimization Via Differentiable Physics-Informed Neural Operator: A Composites Autoclave Processing Case Study,Janak M. Patel; Milad Ramezankhani; Anirudh Deodhar; Dagnachew Birru,,,0,1,6,NA-only
1558,2503.05717v1,A computational model for crack-tip fields in a 3-D porous elastic solid with material moduli dependent on density,Kun Gou; S. M. Mallikarjunaiah,,,0,1,14,NA-only
1559,2502.11302v1,An Interior-Point Algorithm for Continuous Nonlinearly Constrained Optimization with Noisy Function and Derivative Evaluations,Frank E. Curtis; Shima Dezfulian; Andreas Waechter,,,0,1,7,NA-only
1560,2502.11194v1,Sparse Identification for bifurcating phenomena in Computational Fluid Dynamics,Lorenzo Tomada; Moaad Khamlich; Federico Pichi; Gianluigi Rozza,,,0,1,6,NA-only
1561,2503.05883v1,Open Boundary Conditions for Nonlinear Initial Boundary Value Problems,Jan Nordström,,,0,1,10,NA-only
1562,2503.05716v1,Normalized Fourier-induced PINN method for solving the wave propagation equation in a non-unitized domain over an extended time range,Jichao Ma; Dandan Liu; Jinran Wu; Xi'an Li,,,0,1,6,NA-only
1563,2502.11117v1,A Second-order method on graded meshes for fractional Laplacian via Riesz fractional derivative with a singular source term,Minghua Chen; Jianxing Han; Jiankang Shi; Fan Yu,,,0,1,4,NA-only
1564,2502.11074v1,Trace Ratio vs Ratio Trace methods for multi dimensionality reduction,Alaeddine Zahir; Franck Dufrenois; Khalide Jbilou; Ahmed Ratnani,,,0,1,1,NA-only
